Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
H032,,,,,,16.86908563,47.76787924,160.938,Global,0.017,0.015,0.013,0.022,2.086,m,FIX,2024-10-08 15:41:44.8 UTC+02:00,2024-10-08 15:41:50.0 UTC+02:00,27,1.2,1.4,,,,16.86821967,47.76984336,163.875,227.842,,Global CS,12,8,4,0,1
H033,,,,,,16.86949783,47.76778601,161.036,Global,0.011,0.013,0.019,0.017,2.086,m,FIX,2024-10-08 15:44:16.6 UTC+02:00,2024-10-08 15:44:21.6 UTC+02:00,26,1.4,1.6,,,,16.86821967,47.76984336,163.875,248.000,,Global CS,11,0,0,0,1
H034,,,,,,16.86983892,47.76773142,162.027,Global,0.011,0.018,0.012,0.021,2.086,m,FIX,2024-10-08 15:46:35.9 UTC+02:00,2024-10-08 15:46:41.1 UTC+02:00,27,1.4,1.6,,,,16.86821967,47.76984336,163.875,264.355,,Global CS,10,9,0,0,1
H035,,,,,,16.86951708,47.76805629,161.061,Global,0.012,0.020,0.020,0.023,2.086,m,FIX,2024-10-08 15:49:41.3 UTC+02:00,2024-10-08 15:49:46.5 UTC+02:00,27,1.4,1.6,,,,16.86821967,47.76984336,163.875,221.252,,Global CS,10,9,0,0,1
H036,,,,,,16.86991288,47.76815182,161.144,Global,0.011,0.015,0.018,0.018,2.086,m,FIX,2024-10-08 15:52:07.2 UTC+02:00,2024-10-08 15:52:12.3 UTC+02:00,26,1.4,1.6,,,,16.86821967,47.76984336,163.875,226.882,,Global CS,10,8,0,0,1
H037,,,,,,16.86977617,47.76837953,161.022,Global,0.014,0.016,0.013,0.021,2.086,m,FIX,2024-10-08 15:54:31.5 UTC+02:00,2024-10-08 15:54:36.5 UTC+02:00,26,1.4,1.6,,,,16.86821967,47.76984336,163.875,200.274,,Global CS,10,8,0,0,1
H038,,,,,,16.87006910,47.76854999,161.079,Global,0.012,0.014,0.017,0.019,2.086,m,FIX,2024-10-08 15:57:04.9 UTC+02:00,2024-10-08 15:57:10.1 UTC+02:00,27,1.4,1.6,,,,16.86821967,47.76984336,163.875,199.744,,Global CS,10,8,0,0,1
H039,,,,,,16.86980909,47.76871516,161.077,Global,0.011,0.020,0.013,0.023,2.086,m,FIX,2024-10-08 15:59:42.7 UTC+02:00,2024-10-08 15:59:47.9 UTC+02:00,27,1.5,1.8,,,,16.86821967,47.76984336,163.875,173.020,,Global CS,11,8,0,0,0
H040,,,,,,16.87003499,47.76887281,161.151,Global,0.012,0.017,0.019,0.021,2.086,m,FIX,2024-10-08 16:02:09.3 UTC+02:00,2024-10-08 16:02:14.3 UTC+02:00,26,1.5,1.7,,,,16.86821967,47.76984336,163.875,173.690,,Global CS,11,8,0,0,0
H041,,,,,,16.86968792,47.76893455,161.050,Global,0.010,0.011,0.014,0.014,2.086,m,FIX,2024-10-08 16:05:18.7 UTC+02:00,2024-10-08 16:05:23.7 UTC+02:00,26,1.5,1.8,,,,16.86821967,47.76984336,163.875,149.407,,Global CS,13,8,0,0,0
H042,,,,,,16.86907608,47.76891539,161.020,Global,0.012,0.015,0.016,0.020,2.086,m,FIX,2024-10-08 16:08:13.9 UTC+02:00,2024-10-08 16:08:19.1 UTC+02:00,27,1.5,1.7,,,,16.86821967,47.76984336,163.875,121.519,,Global CS,13,8,0,0,0
H043,,,,,,16.86951099,47.76856276,160.914,Global,0.011,0.019,0.010,0.022,2.086,m,FIX,2024-10-08 16:11:28.7 UTC+02:00,2024-10-08 16:11:33.7 UTC+02:00,26,1.3,1.5,,,,16.86821967,47.76984336,163.875,172.170,,Global CS,13,8,0,0,0
H044,,,,,,16.86927376,47.76833555,160.877,Global,0.013,0.050,0.018,0.052,2.086,m,FIX,2024-10-08 16:17:26.9 UTC+02:00,2024-10-08 16:17:32.1 UTC+02:00,27,1.4,1.6,,,,16.86821967,47.76984336,163.875,185.401,,Global CS,13,8,0,0,0
H045,,,,,,16.86895263,47.76814462,160.828,Global,0.012,0.022,0.018,0.025,2.086,m,FIX,2024-10-08 16:21:53.5 UTC+02:00,2024-10-08 16:21:58.5 UTC+02:00,26,1.4,1.6,,,,16.86821967,47.76984336,163.875,196.739,,Global CS,13,9,0,0,0
H046,,,,,,16.86853080,47.76789672,160.840,Global,0.009,0.011,0.015,0.015,2.086,m,FIX,2024-10-08 16:25:54.9 UTC+02:00,2024-10-08 16:26:00.1 UTC+02:00,27,1.4,1.6,,,,16.86821967,47.76984336,163.875,217.682,,Global CS,13,9,0,0,0
H047,,,,,,16.86818540,47.76764515,160.820,Global,0.011,0.026,0.012,0.028,2.086,m,FIX,2024-10-08 16:29:22.6 UTC+02:00,2024-10-08 16:29:27.8 UTC+02:00,27,1.1,1.3,,,,16.86821967,47.76984336,163.875,244.393,,Global CS,13,9,0,0,0
H048,,,,,,16.86825637,47.76805906,160.881,Global,0.011,0.018,0.011,0.021,2.086,m,FIX,2024-10-08 16:33:24.3 UTC+02:00,2024-10-08 16:33:29.5 UTC+02:00,27,1.0,1.1,,,,16.86821967,47.76984336,163.875,198.396,,Global CS,13,9,0,0,0
H049,,,,,,16.86846968,47.76837704,160.880,Global,0.012,0.016,0.012,0.020,2.086,m,FIX,2024-10-08 16:36:16.7 UTC+02:00,2024-10-08 16:36:22.0 UTC+02:00,27,1.0,1.1,,,,16.86821967,47.76984336,163.875,164.102,,Global CS,14,8,0,0,0
H050,,,,,,16.86894651,47.76851397,160.887,Global,0.014,0.016,0.011,0.021,2.086,m,FIX,2024-10-08 16:39:32.4 UTC+02:00,2024-10-08 16:39:37.6 UTC+02:00,27,1.0,1.2,,,,16.86821967,47.76984336,163.875,157.536,,Global CS,13,8,0,0,0
H051,,,,,,16.86961001,47.76878518,161.060,Global,0.041,0.062,0.081,0.074,2.086,m,FIX,2024-10-08 16:42:59.7 UTC+02:00,2024-10-08 16:43:04.9 UTC+02:00,27,1.1,1.3,,,,16.86821967,47.76984336,163.875,157.212,,Global CS,12,8,0,0,0
H052,,,,,,16.87000064,47.76908993,161.143,Global,0.012,0.009,0.015,0.015,2.086,m,FIX,2024-10-08 16:46:07.8 UTC+02:00,2024-10-08 16:46:13.0 UTC+02:00,27,1.3,1.5,,,,16.86821967,47.76984336,163.875,157.614,,Global CS,13,9,0,0,0
H053,,,,,monitoring line,16.87034414,47.76925317,161.404,Global,0.015,0.010,0.012,0.018,2.086,m,FIX,2024-10-08 16:48:41.4 UTC+02:00,2024-10-08 16:48:46.4 UTC+02:00,26,1.1,1.2,,,,16.86821967,47.76984336,163.875,172.233,,Global CS,13,0,0,0,0
H054,,,,,,16.86972359,47.76931608,161.025,Global,0.021,0.015,0.010,0.026,2.086,m,FIX,2024-10-08 16:51:29.4 UTC+02:00,2024-10-08 16:51:34.6 UTC+02:00,27,1.3,1.5,,,,16.86821967,47.76984336,163.875,127.067,,Global CS,12,9,0,0,0
H055,,,,,,16.87007281,47.76953972,161.128,Global,0.014,0.011,0.015,0.018,2.086,m,FIX,2024-10-08 16:54:04.2 UTC+02:00,2024-10-08 16:54:09.4 UTC+02:00,27,1.4,1.6,,,,16.86821967,47.76984336,163.875,142.940,,Global CS,12,9,0,0,0
